seed,temperature_c,event_index,polarity,m_ff,calibration,alarm_a18,alarm_b18,alarm_a19,alarm_b19,sticky_a18,sticky_b18,sticky_a19,sticky_b19,before_a18_rise,before_a18_fall,before_b18_rise,before_b18_fall,before_a19_rise,before_a19_fall,before_b19_rise,before_b19_fall,after_a18_rise,after_a18_fall,after_b18_rise,after_b18_fall,after_a19_rise,after_a19_fall,after_b19_rise,after_b19_fall,lock_a18,lock_b18,lock_a19,lock_b19,event_count
41003,-40,4,0,135,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,140
41003,-40,5,1,84,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,141
41003,-40,6,0,135,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,142
41003,-40,7,1,84,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,143
41003,-40,8,0,135,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,144
41003,-40,9,1,84,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,145
41003,-40,10,0,135,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,146
41003,-40,11,1,84,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,147
41003,-40,12,0,135,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,148
41003,-40,13,1,84,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,149
41003,-40,14,0,135,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,150
41003,-40,15,1,84,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,151
41003,-40,16,0,135,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,152
41003,-40,17,1,84,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,153
41003,-40,18,0,135,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,154
41003,-40,19,1,84,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,155
41003,-40,20,0,135,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,156
41003,-40,21,1,84,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,157
41003,-40,22,0,135,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,158
41003,-40,23,1,84,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,159
41003,125,-1,0,159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
41003,125,-1,0,159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161
41003,125,-1,0,159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162
