policy,t_pos_rise,delta_r,healthy_positive_false_alarms,d01_coverage,d02_coverage,d04_coverage,d01_min_signed_headroom,d02_min_signed_headroom,d04_min_signed_headroom,effective_threshold_min,effective_threshold_max,safe_combined_criterion
A_TRACK_SOURCE,18,-19,234,30/30,30/30,30/30,21,42,21,18,18,0
A_TRACK_SOURCE,18,-18,50,30/30,30/30,30/30,20,41,20,18,18,0
A_TRACK_SOURCE,18,-17,50,30/30,30/30,30/30,19,40,19,18,18,0
A_TRACK_SOURCE,18,-16,50,30/30,30/30,30/30,18,39,18,18,18,0
A_TRACK_SOURCE,18,-15,50,30/30,30/30,30/30,17,38,17,18,18,0
A_TRACK_SOURCE,18,-14,50,30/30,30/30,30/30,16,37,16,18,18,0
A_TRACK_SOURCE,18,-13,50,30/30,30/30,30/30,15,36,15,18,18,0
A_TRACK_SOURCE,18,-12,10,30/30,30/30,30/30,14,35,14,18,18,0
A_TRACK_SOURCE,18,-11,10,30/30,30/30,30/30,13,34,13,18,18,0
A_TRACK_SOURCE,18,-10,10,30/30,30/30,30/30,12,33,12,18,18,0
A_TRACK_SOURCE,18,-9,10,30/30,30/30,30/30,11,32,11,18,18,0
A_TRACK_SOURCE,18,-8,6,30/30,30/30,30/30,10,31,10,18,18,0
A_TRACK_SOURCE,18,-7,6,30/30,30/30,30/30,9,30,9,18,18,0
A_TRACK_SOURCE,18,-6,6,30/30,30/30,30/30,8,29,8,18,18,0
A_TRACK_SOURCE,18,-5,6,30/30,30/30,30/30,7,28,7,18,18,0
A_TRACK_SOURCE,18,-4,6,30/30,30/30,30/30,6,27,6,18,18,0
A_TRACK_SOURCE,18,-3,6,30/30,30/30,30/30,5,26,5,18,18,0
A_TRACK_SOURCE,18,-2,5,30/30,30/30,30/30,4,25,4,18,18,0
A_TRACK_SOURCE,18,-1,2,30/30,30/30,30/30,3,24,3,18,18,0
A_TRACK_SOURCE,18,0,0,30/30,30/30,30/30,2,23,2,18,18,1
A_TRACK_SOURCE,18,1,0,30/30,30/30,30/30,1,22,1,18,18,1
A_TRACK_SOURCE,18,2,0,29/30,30/30,29/30,0,21,0,18,18,0
A_TRACK_SOURCE,18,3,0,23/30,30/30,25/30,-1,20,-1,18,18,0
A_TRACK_SOURCE,18,4,0,22/30,30/30,24/30,-2,19,-2,18,18,0
A_TRACK_SOURCE,18,5,0,21/30,30/30,23/30,-3,18,-3,18,18,0
A_TRACK_SOURCE,18,6,0,21/30,30/30,23/30,-4,17,-4,18,18,0
A_TRACK_SOURCE,18,7,0,21/30,30/30,23/30,-5,16,-5,18,18,0
A_TRACK_SOURCE,18,8,0,20/30,30/30,22/30,-6,15,-6,18,18,0
A_TRACK_SOURCE,18,9,0,16/30,30/30,18/30,-7,14,-7,18,18,0
A_TRACK_SOURCE,18,10,0,15/30,30/30,17/30,-8,13,-8,18,18,0
A_TRACK_SOURCE,18,11,0,13/30,30/30,15/30,-9,12,-9,18,18,0
A_TRACK_SOURCE,18,12,0,13/30,30/30,15/30,-10,11,-10,18,18,0
A_TRACK_SOURCE,18,13,0,13/30,30/30,15/30,-11,10,-11,18,18,0
A_TRACK_SOURCE,18,14,0,13/30,30/30,15/30,-12,9,-12,18,18,0
A_TRACK_SOURCE,18,15,0,13/30,30/30,15/30,-13,8,-13,18,18,0
A_TRACK_SOURCE,18,16,0,13/30,30/30,15/30,-14,7,-14,18,18,0
A_TRACK_SOURCE,18,17,0,13/30,30/30,15/30,-15,6,-15,18,18,0
A_TRACK_SOURCE,18,18,0,12/30,30/30,14/30,-16,5,-16,18,18,0
A_TRACK_SOURCE,18,19,0,12/30,30/30,14/30,-17,4,-17,18,18,0
A_TRACK_SOURCE,18,20,0,9/30,30/30,11/30,-18,3,-18,18,18,0
A_TRACK_SOURCE,18,21,0,9/30,30/30,11/30,-19,2,-19,18,18,0
A_TRACK_SOURCE,18,22,0,7/30,30/30,9/30,-20,1,-20,18,18,0
A_TRACK_SOURCE,18,23,0,7/30,29/30,7/30,-21,0,-21,18,18,0
A_TRACK_SOURCE,18,24,0,7/30,29/30,7/30,-22,-1,-22,18,18,0
A_TRACK_SOURCE,18,25,0,2/30,29/30,2/30,-23,-2,-23,18,18,0
A_TRACK_SOURCE,18,26,0,2/30,29/30,2/30,-24,-3,-24,18,18,0
A_TRACK_SOURCE,18,27,0,0/30,28/30,0/30,-25,-4,-25,18,18,0
A_TRACK_SOURCE,18,28,0,0/30,28/30,0/30,-26,-5,-26,18,18,0
A_TRACK_SOURCE,18,29,0,0/30,24/30,0/30,-27,-6,-27,18,18,0
A_TRACK_SOURCE,18,30,0,0/30,24/30,0/30,-28,-7,-28,18,18,0
A_TRACK_SOURCE,18,31,0,0/30,24/30,0/30,-29,-8,-29,18,18,0
A_TRACK_SOURCE,18,32,0,0/30,24/30,0/30,-30,-9,-30,18,18,0
A_TRACK_SOURCE,18,33,0,0/30,24/30,0/30,-31,-10,-31,18,18,0
A_TRACK_SOURCE,18,34,0,0/30,24/30,0/30,-32,-11,-32,18,18,0
A_TRACK_SOURCE,18,35,0,0/30,24/30,0/30,-33,-12,-33,18,18,0
A_TRACK_SOURCE,18,36,0,0/30,24/30,0/30,-34,-13,-34,18,18,0
A_TRACK_SOURCE,18,37,0,0/30,23/30,0/30,-35,-14,-35,18,18,0
A_TRACK_SOURCE,18,38,0,0/30,23/30,0/30,-36,-15,-36,18,18,0
A_TRACK_SOURCE,18,39,0,0/30,22/30,0/30,-37,-16,-37,18,18,0
A_TRACK_SOURCE,18,40,0,0/30,19/30,0/30,-38,-17,-38,18,18,0
A_TRACK_SOURCE,18,41,0,0/30,19/30,0/30,-39,-18,-39,18,18,0
A_TRACK_SOURCE,18,42,0,0/30,14/30,0/30,-40,-19,-40,18,18,0
A_TRACK_SOURCE,18,43,0,0/30,12/30,0/30,-41,-20,-41,18,18,0
A_TRACK_SOURCE,18,44,0,0/30,12/30,0/30,-42,-21,-42,18,18,0
A_TRACK_SOURCE,18,45,0,0/30,6/30,0/30,-43,-22,-43,18,18,0
A_TRACK_SOURCE,18,46,0,0/30,6/30,0/30,-44,-23,-44,18,18,0
A_TRACK_SOURCE,18,47,0,0/30,6/30,0/30,-45,-24,-45,18,18,0
A_TRACK_SOURCE,18,48,0,0/30,2/30,0/30,-46,-25,-46,18,18,0
A_TRACK_SOURCE,18,49,0,0/30,2/30,0/30,-47,-26,-47,18,18,0
A_TRACK_SOURCE,18,50,0,0/30,2/30,0/30,-48,-27,-48,18,18,0
A_TRACK_SOURCE,18,51,0,0/30,1/30,0/30,-49,-28,-49,18,18,0
A_TRACK_SOURCE,18,52,0,0/30,1/30,0/30,-50,-29,-50,18,18,0
A_TRACK_SOURCE,18,53,0,0/30,1/30,0/30,-51,-30,-51,18,18,0
A_TRACK_SOURCE,18,54,0,0/30,0/30,0/30,-52,-31,-52,18,18,0
A_TRACK_SOURCE,18,55,0,0/30,0/30,0/30,-53,-32,-53,18,18,0
A_TRACK_SOURCE,18,56,0,0/30,0/30,0/30,-54,-33,-54,18,18,0
A_TRACK_SOURCE,18,57,0,0/30,0/30,0/30,-55,-34,-55,18,18,0
