vdd_v,tap_index,rvt_cross_s,lvt_cross_s,delta_signed_ps,xor_width_proxy_ps,lead_path
1.02,25,1.651359882e-09,1.37394874e-09,277.411142,277.411142,LVT
1.02,26,1.674237711e-09,1.388424713e-09,285.812998,285.812998,LVT
1.02,27,1.697112143e-09,1.402883097e-09,294.229046,294.229046,LVT
1.02,28,1.719881232e-09,1.417323658e-09,302.557574,302.557574,LVT
1.02,29,1.741101799e-09,1.430535174e-09,310.566625,310.566625,LVT
1.01,0,1.082762434e-09,1.011903751e-09,70.858683,70.858683,LVT
1.01,1,1.106081711e-09,1.026655412e-09,79.426299,79.426299,LVT
1.01,2,1.12942968e-09,1.041438851e-09,87.990829,87.990829,LVT
1.01,3,1.152741212e-09,1.056217789e-09,96.523423,96.523423,LVT
1.01,4,1.176113585e-09,1.070944602e-09,105.168983,105.168983,LVT
1.01,5,1.199454655e-09,1.085761371e-09,113.693284,113.693284,LVT
1.01,6,1.222805304e-09,1.100472492e-09,122.332812,122.332812,LVT
1.01,7,1.246128274e-09,1.115183254e-09,130.94502,130.94502,LVT
1.01,8,1.26949736e-09,1.129991044e-09,139.506316,139.506316,LVT
1.01,9,1.292870309e-09,1.144678397e-09,148.191912,148.191912,LVT
1.01,10,1.3162637e-09,1.159473323e-09,156.790377,156.790377,LVT
1.01,11,1.339623233e-09,1.174165994e-09,165.457239,165.457239,LVT
1.01,12,1.363071417e-09,1.188995961e-09,174.075456,174.075456,LVT
1.01,13,1.386452467e-09,1.203751089e-09,182.701378,182.701378,LVT
1.01,14,1.409861785e-09,1.218381702e-09,191.480083,191.480083,LVT
1.01,15,1.433132337e-09,1.23320748e-09,199.924857,199.924857,LVT
1.01,16,1.45658062e-09,1.247851696e-09,208.728924,208.728924,LVT
1.01,17,1.48004268e-09,1.262511386e-09,217.531294,217.531294,LVT
1.01,18,1.50324718e-09,1.277266576e-09,225.980604,225.980604,LVT
1.01,19,1.526690031e-09,1.292028675e-09,234.661356,234.661356,LVT
1.01,20,1.550089001e-09,1.306666393e-09,243.422608,243.422608,LVT
1.01,21,1.573540454e-09,1.321487093e-09,252.053361,252.053361,LVT
1.01,22,1.596791793e-09,1.336222981e-09,260.568812,260.568812,LVT
1.01,23,1.620167309e-09,1.350956892e-09,269.210417,269.210417,LVT
1.01,24,1.643584113e-09,1.36574916e-09,277.834953,277.834953,LVT
1.01,25,1.666916046e-09,1.380464907e-09,286.451139,286.451139,LVT
1.01,26,1.690318e-09,1.39519992e-09,295.11808,295.11808,LVT
1.01,27,1.713614587e-09,1.410010431e-09,303.604156,303.604156,LVT
1.01,28,1.737030923e-09,1.424692173e-09,312.33875,312.33875,LVT
1.01,29,1.758973669e-09,1.438079105e-09,320.894564,320.894564,LVT
1,0,1.084660275e-09,1.012040152e-09,72.620123,72.620123,LVT
1,1,1.108516787e-09,1.027044444e-09,81.472343,81.472343,LVT
1,2,1.132458804e-09,1.042112193e-09,90.346611,90.346611,LVT
