scenario,operation_index,operation_type,M_before,M_after,F_before,F_after,probe_kind,reachable,formal_gate,legacy_evidence_key,reason,counted_operation,operation,phase,probe_index,changed_thermometer_bits,reset_asserted,reset_release_timing,sclk_low,configuration_edge_s,settle_s,configuration_ck_edge_count,code_constant_during_probe,intended_active_ck_edge_count,q_sample_count,q_samples_same_rail,recovery_guard_s
0p95_normal,25,fine_probe,4,4,1,1,fine_probe,True,True,probe:0p95_normal:20,replayed_frozen_protocol,True,compare_probe,fine_probe,20,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p95_normal,26,fine_increment,4,4,1,2,,True,True,transition:0p95_normal:fine_increment:4:4:1:2,replayed_frozen_protocol,True,config_update,fine_increment,,1,True,,True,1e-11,1.5e-09,0,False,0,0,False,0.0
0p95_normal,27,fine_probe,4,4,2,2,fine_probe,True,True,probe:0p95_normal:22,replayed_frozen_protocol,True,compare_probe,fine_probe,22,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p95_normal,28,fine_increment,4,4,2,3,,True,True,transition:0p95_normal:fine_increment:4:4:2:3,replayed_frozen_protocol,True,config_update,fine_increment,,1,True,,True,1e-11,1.5e-09,0,False,0,0,False,0.0
0p95_normal,29,fine_probe,4,4,3,3,fine_probe,True,True,probe:0p95_normal:24,replayed_frozen_protocol,True,compare_probe,fine_probe,24,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p95_normal,30,fine_increment,4,4,3,4,,True,True,transition:0p95_normal:fine_increment:4:4:3:4,replayed_frozen_protocol,True,config_update,fine_increment,,1,True,,True,1e-11,1.5e-09,0,False,0,0,False,0.0
0p95_normal,31,fine_probe,4,4,4,4,fine_probe,True,True,probe:0p95_normal:26,replayed_frozen_protocol,True,compare_probe,fine_probe,26,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p95_normal,32,fine_increment,4,4,4,5,,True,True,transition:0p95_normal:fine_increment:4:4:4:5,replayed_frozen_protocol,True,config_update,fine_increment,,1,True,,True,1e-11,1.5e-09,0,False,0,0,False,0.0
0p95_normal,33,fine_probe,4,4,5,5,fine_probe,True,True,probe:0p95_normal:28,replayed_frozen_protocol,True,compare_probe,fine_probe,28,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p95_normal,34,fine_increment,4,4,5,6,,True,True,transition:0p95_normal:fine_increment:4:4:5:6,frozen_guard_code_update,True,config_update,fine_increment,,1,True,,True,1e-11,1.5e-09,0,False,0,0,False,0.0
