scenario,probe_index,medium_code,fine_code,protocol_phase,q_state,reachable,selected_path,counterfactual_only,counterfactual_reason,formal_gate,electrical_valid,reason
0p95_normal,94,6,6,fine_m6_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,95,6,6,fine_m6_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,96,6,7,fine_m6_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,97,6,7,fine_m6_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,98,6,8,fine_m6_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,99,6,8,fine_m6_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,100,6,9,fine_m6_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,101,6,9,fine_m6_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,102,6,10,fine_m6_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,103,6,10,fine_m6_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
1p10_normal,0,0,0,coarse_scan,stable_high,True,True,False,,True,1,
1p10_normal,1,0,0,coarse_repeat,stable_high,True,True,False,,True,1,
1p10_normal,2,1,0,coarse_scan,stable_high,True,True,False,,True,1,
1p10_normal,3,1,0,coarse_repeat,stable_high,True,True,False,,True,1,
1p10_normal,4,2,0,coarse_scan,stable_high,True,True,False,,True,1,
1p10_normal,5,2,0,coarse_repeat,stable_high,True,True,False,,True,1,
1p10_normal,6,3,0,coarse_scan,stable_high,True,True,False,,True,1,
1p10_normal,7,3,0,coarse_repeat,stable_high,True,True,False,,True,1,
1p10_normal,8,4,0,coarse_scan,stable_low,True,True,False,,True,1,
1p10_normal,9,4,0,coarse_repeat,stable_low,True,True,False,,True,1,
1p10_normal,10,5,0,coarse_scan,stable_low,False,False,True,after_coarse_stop,False,1,
1p10_normal,11,5,0,coarse_repeat,stable_low,False,False,True,after_coarse_stop,False,1,
1p10_normal,12,4,0,coarse_backoff,stable_low,False,False,True,coarse_backoff_probe_not_real_operation,False,1,
1p10_normal,13,3,0,coarse_backoff,stable_high,False,False,True,coarse_backoff_probe_not_real_operation,False,1,
1p10_normal,14,2,0,fine_m2_scan,stable_high,True,True,False,,True,1,
1p10_normal,15,2,0,fine_m2_repeat,stable_high,False,False,True,fine_repeat_not_selected_as_lock_hold,False,1,
1p10_normal,16,2,1,fine_m2_scan,stable_high,True,True,False,,True,1,
1p10_normal,17,2,1,fine_m2_repeat,stable_high,False,False,True,fine_repeat_not_selected_as_lock_hold,False,1,
1p10_normal,18,2,2,fine_m2_scan,stable_high,True,True,False,,True,1,
1p10_normal,19,2,2,fine_m2_repeat,stable_high,False,False,True,fine_repeat_not_selected_as_lock_hold,False,1,
1p10_normal,20,2,3,fine_m2_scan,stable_high,True,True,False,,True,1,
1p10_normal,21,2,3,fine_m2_repeat,stable_high,False,False,True,fine_repeat_not_selected_as_lock_hold,False,1,
1p10_normal,22,2,4,fine_m2_scan,stable_high,True,True,False,,True,1,
1p10_normal,23,2,4,fine_m2_repeat,stable_high,False,False,True,fine_repeat_not_selected_as_lock_hold,False,1,
1p10_normal,24,2,5,fine_m2_scan,stable_high,True,True,False,,True,1,
1p10_normal,25,2,5,fine_m2_repeat,stable_high,False,False,True,fine_repeat_not_selected_as_lock_hold,False,1,
1p10_normal,26,2,6,fine_m2_scan,stable_high,True,True,False,,True,1,
1p10_normal,27,2,6,fine_m2_repeat,stable_high,False,False,True,fine_repeat_not_selected_as_lock_hold,False,1,
1p10_normal,28,2,7,fine_m2_scan,stable_high,True,True,False,,True,1,
1p10_normal,29,2,7,fine_m2_repeat,stable_high,False,False,True,fine_repeat_not_selected_as_lock_hold,False,1,
1p10_normal,30,2,8,fine_m2_scan,stable_low,True,True,False,,True,1,
1p10_normal,31,2,8,fine_m2_repeat,stable_low,False,False,True,fine_repeat_not_selected_as_lock_hold,False,1,
1p10_normal,32,2,9,fine_m2_scan,stable_low,True,True,False,,True,1,
1p10_normal,33,2,9,fine_m2_repeat,stable_low,True,True,False,,True,1,
1p10_normal,34,2,10,fine_m2_scan,stable_low,False,False,True,after_fine_boundary,False,1,
1p10_normal,35,2,10,fine_m2_repeat,stable_low,False,False,True,fine_repeat_not_selected_as_lock_hold,False,1,
1p10_normal,36,2,9,branch_cleanup,stable_low,False,False,True,branch_cleanup_not_real_probe,False,1,
1p10_normal,37,2,8,branch_cleanup,stable_low,False,False,True,branch_cleanup_not_real_probe,False,1,
1p10_normal,38,2,7,branch_cleanup,stable_high,False,False,True,branch_cleanup_not_real_probe,False,1,
1p10_normal,39,2,6,branch_cleanup,stable_high,False,False,True,branch_cleanup_not_real_probe,False,1,
1p10_normal,40,2,5,branch_cleanup,stable_high,False,False,True,branch_cleanup_not_real_probe,False,1,
1p10_normal,41,2,4,branch_cleanup,stable_high,False,False,True,branch_cleanup_not_real_probe,False,1,
1p10_normal,42,2,3,branch_cleanup,stable_high,False,False,True,branch_cleanup_not_real_probe,False,1,
1p10_normal,43,2,2,branch_cleanup,stable_high,False,False,True,branch_cleanup_not_real_probe,False,1,
1p10_normal,44,2,1,branch_cleanup,stable_high,False,False,True,branch_cleanup_not_real_probe,False,1,
1p10_normal,45,2,0,branch_cleanup,stable_high,False,False,True,branch_cleanup_not_real_probe,False,1,
1p10_normal,46,3,0,fine_m3_scan,stable_high,False,False,True,unselected_fine_branch,False,1,
1p10_normal,47,3,0,fine_m3_repeat,stable_high,False,False,True,unselected_fine_branch,False,1,
1p10_normal,48,3,1,fine_m3_scan,stable_high,False,False,True,unselected_fine_branch,False,1,
1p10_normal,49,3,1,fine_m3_repeat,stable_high,False,False,True,unselected_fine_branch,False,1,
1p10_normal,50,3,2,fine_m3_scan,stable_high,False,False,True,unselected_fine_branch,False,1,
1p10_normal,51,3,2,fine_m3_repeat,stable_high,False,False,True,unselected_fine_branch,False,1,
1p10_normal,52,3,3,fine_m3_scan,stable_high,False,False,True,unselected_fine_branch,False,1,
1p10_normal,53,3,3,fine_m3_repeat,stable_high,False,False,True,unselected_fine_branch,False,1,
1p10_normal,54,3,4,fine_m3_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
1p10_normal,55,3,4,fine_m3_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
1p10_normal,56,3,5,fine_m3_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
1p10_normal,57,3,5,fine_m3_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
1p10_normal,58,3,6,fine_m3_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
1p10_normal,59,3,6,fine_m3_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
1p10_normal,60,3,7,fine_m3_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
1p10_normal,61,3,7,fine_m3_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
1p10_normal,62,3,8,fine_m3_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
1p10_normal,63,3,8,fine_m3_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
1p10_normal,64,3,9,fine_m3_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
1p10_normal,65,3,9,fine_m3_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
