episode_id,transition_index,old_M,new_M,update_time_s,quiet_window_start_s,quiet_window_end_s,quiet_xor_v,quiet_medium_v,quiet_ck_v,configuration_ck_edge_count,status,reason
E04,78,6,5,9.62099999999999e-08,9.62199999999999e-08,1.0283999999999987e-07,3.050120495e-05,0.003580599386,6.49655228e-06,0,PASS,
E04,79,5,4,9.62199999999999e-08,9.62299999999999e-08,1.0283999999999987e-07,3.050120495e-05,0.003580599386,6.49655228e-06,0,PASS,
E04,80,4,3,9.62299999999999e-08,9.62399999999999e-08,1.0283999999999987e-07,3.050120495e-05,0.003580599386,6.49655228e-06,0,PASS,
E04,81,3,2,9.62399999999999e-08,9.62499999999999e-08,1.0283999999999987e-07,3.050120495e-05,0.003580599386,6.49655228e-06,0,PASS,
E04,82,2,1,9.62499999999999e-08,9.62599999999999e-08,1.0283999999999987e-07,3.050120495e-05,0.003580599386,6.49655228e-06,0,PASS,
E04,83,1,0,9.62599999999999e-08,9.62699999999999e-08,1.0283999999999987e-07,3.050120495e-05,0.003580599386,6.49655228e-06,0,PASS,
E05,84,0,1,1.0126999999999989e-07,1.0127999999999989e-07,1.0283999999999987e-07,2.612784639e-05,0.0002830481969,3.919763313e-06,0,PASS,
E05,85,1,2,1.0127999999999989e-07,1.0128999999999988e-07,1.0283999999999987e-07,1.680144002e-05,0.0002830481969,3.919763313e-06,0,PASS,
E05,86,2,3,1.0128999999999988e-07,1.0129999999999988e-07,1.0283999999999987e-07,8.440373159e-07,0.0002590949209,7.687569655e-07,0,PASS,
E05,87,3,4,1.0129999999999988e-07,1.0130999999999988e-07,1.0283999999999987e-07,8.440373159e-07,0.00011885097,1.938663489e-07,0,PASS,
E05,88,4,5,1.0130999999999988e-07,1.0131999999999988e-07,1.0283999999999987e-07,8.440373159e-07,5.621560375e-05,1.938663489e-07,0,PASS,
E05,89,5,6,1.0131999999999988e-07,1.0132999999999988e-07,1.0283999999999987e-07,8.440373159e-07,2.70736275e-05,1.938663489e-07,0,PASS,
E05,90,6,7,1.0132999999999988e-07,1.0133999999999987e-07,1.0283999999999987e-07,8.412704749e-07,1.321847263e-05,1.938663489e-07,0,PASS,
E05,91,7,8,1.0133999999999987e-07,1.0134999999999987e-07,1.0283999999999987e-07,8.358332581e-07,6.665598081e-06,1.938663489e-07,0,PASS,
E05,92,8,7,1.1672999999999987e-07,1.1673999999999987e-07,1.2336999999999992e-07,2.988735693e-05,0.003580837409,6.324096338e-06,0,PASS,
E05,93,7,6,1.1673999999999987e-07,1.1674999999999986e-07,1.2336999999999992e-07,2.988735693e-05,0.003580837409,6.324096338e-06,0,PASS,
E05,94,6,5,1.1674999999999986e-07,1.1675999999999986e-07,1.2336999999999992e-07,2.988735693e-05,0.003580837409,6.324096338e-06,0,PASS,
E05,95,5,4,1.1675999999999986e-07,1.1676999999999986e-07,1.2336999999999992e-07,2.988735693e-05,0.003580837409,6.324096338e-06,0,PASS,
E05,96,4,3,1.1676999999999986e-07,1.1677999999999986e-07,1.2336999999999992e-07,2.988735693e-05,0.003580837409,6.324096338e-06,0,PASS,
E05,97,3,2,1.1677999999999986e-07,1.1678999999999986e-07,1.2336999999999992e-07,2.988735693e-05,0.003580837409,6.324096338e-06,0,PASS,
E05,98,2,1,1.1678999999999986e-07,1.1679999999999985e-07,1.2336999999999992e-07,2.988735693e-05,0.003580837409,6.324096338e-06,0,PASS,
E05,99,1,0,1.1679999999999985e-07,1.1680999999999985e-07,1.2336999999999992e-07,2.988735693e-05,0.003580837409,6.324096338e-06,0,PASS,
E06,100,0,1,1.2180999999999984e-07,1.2181999999999986e-07,1.2336999999999992e-07,2.552309808e-05,0.0002830485697,3.726654843e-06,0,PASS,
E06,101,1,2,1.2181999999999986e-07,1.2182999999999987e-07,1.2336999999999992e-07,1.630651079e-05,0.0002830485697,3.726654843e-06,0,PASS,
E06,102,2,3,1.2182999999999987e-07,1.2183999999999988e-07,1.2336999999999992e-07,8.314867902e-07,0.0002590951432,6.335595713e-07,0,PASS,
E06,103,3,4,1.2183999999999988e-07,1.218499999999999e-07,1.2336999999999992e-07,8.314867902e-07,0.0001188509754,1.918948313e-07,0,PASS,
E06,104,4,5,1.218499999999999e-07,1.218599999999999e-07,1.2336999999999992e-07,8.314867902e-07,5.621566564e-05,1.918948313e-07,0,PASS,
E06,105,5,6,1.218599999999999e-07,1.218699999999999e-07,1.2336999999999992e-07,8.314867902e-07,2.707361883e-05,1.918948313e-07,0,PASS,
E06,106,6,7,1.218699999999999e-07,1.2187999999999992e-07,1.2336999999999992e-07,8.314867902e-07,1.321842273e-05,1.918948313e-07,0,PASS,
E06,107,7,8,1.295699999999999e-07,1.2957999999999992e-07,1.3106999999999992e-07,-4.15160456e-06,7.510935812e-07,2.055131826e-06,0,PASS,
E06,108,8,7,1.377799999999999e-07,1.377899999999999e-07,1.444400000000001e-07,3.064729339e-05,0.003598161249,6.449301515e-06,0,PASS,
E06,109,7,6,1.377899999999999e-07,1.3779999999999992e-07,1.444400000000001e-07,3.064729339e-05,0.003598161249,6.449301515e-06,0,PASS,
E06,110,6,5,1.3779999999999992e-07,1.3780999999999994e-07,1.444400000000001e-07,3.064729339e-05,0.003598161249,6.449301515e-06,0,PASS,
E06,111,5,4,1.3780999999999994e-07,1.3781999999999995e-07,1.444400000000001e-07,3.064729339e-05,0.003598161249,6.449301515e-06,0,PASS,
E06,112,4,3,1.3781999999999995e-07,1.3782999999999996e-07,1.444400000000001e-07,3.064729339e-05,0.003598161249,6.449301515e-06,0,PASS,
E06,113,3,2,1.3782999999999996e-07,1.3783999999999997e-07,1.444400000000001e-07,3.064729339e-05,0.003598161249,6.449301515e-06,0,PASS,
E06,114,2,1,1.3783999999999997e-07,1.3784999999999998e-07,1.444400000000001e-07,3.064729339e-05,0.003598161249,6.449301515e-06,0,PASS,
E06,115,1,0,1.3784999999999998e-07,1.3786e-07,1.444400000000001e-07,3.064729339e-05,0.003598161249,6.449301515e-06,0,PASS,
E07,116,0,1,1.4286e-07,1.4287e-07,1.444400000000001e-07,2.382769283e-05,0.0002830480355,4.003606613e-06,0,PASS,
E07,117,1,2,1.4287e-07,1.4288000000000002e-07,1.444400000000001e-07,1.493262967e-05,0.0002830480355,4.003606613e-06,0,PASS,
E07,118,2,3,1.4288000000000002e-07,1.4289000000000003e-07,1.444400000000001e-07,8.306531287e-07,0.0002590947803,8.354092358e-07,0,PASS,
E07,119,3,4,1.4289000000000003e-07,1.4290000000000004e-07,1.444400000000001e-07,8.306531287e-07,0.0001188508178,2.219644871e-07,0,PASS,
E07,120,4,5,1.4290000000000004e-07,1.4291000000000005e-07,1.444400000000001e-07,8.306531287e-07,5.621545019e-05,2.219644871e-07,0,PASS,
E07,121,5,6,1.4291000000000005e-07,1.4292000000000006e-07,1.444400000000001e-07,8.306531287e-07,2.707353263e-05,2.219644871e-07,0,PASS,
E07,122,6,7,1.4292000000000006e-07,1.4293000000000008e-07,1.444400000000001e-07,8.306531287e-07,1.321846994e-05,2.219644871e-07,0,PASS,
E07,123,7,8,1.4293000000000008e-07,1.429400000000001e-07,1.444400000000001e-07,8.306531287e-07,6.665597932e-06,2.219644871e-07,0,PASS,
E07,124,8,9,1.429400000000001e-07,1.429500000000001e-07,1.444400000000001e-07,8.306531287e-07,3.561597573e-06,2.219644871e-07,0,PASS,
E07,125,9,8,1.5064000000000008e-07,1.506500000000001e-07,1.521400000000001e-07,3.39830748e-06,8.110152462e-07,-1.157383843e-07,0,PASS,
E07,126,8,7,1.5885000000000008e-07,1.588600000000001e-07,1.6550000000000026e-07,3.044519239e-05,0.003580587989,5.508878297e-06,0,PASS,
E07,127,7,6,1.588600000000001e-07,1.588700000000001e-07,1.6550000000000026e-07,3.044519239e-05,0.003580587989,5.508878297e-06,0,PASS,
E07,128,6,5,1.588700000000001e-07,1.588800000000001e-07,1.6550000000000026e-07,3.044519239e-05,0.003580587989,5.508878297e-06,0,PASS,
E07,129,5,4,1.588800000000001e-07,1.5889000000000012e-07,1.6550000000000026e-07,3.044519239e-05,0.003580587989,5.508878297e-06,0,PASS,
E07,130,4,3,1.5889000000000012e-07,1.5890000000000013e-07,1.6550000000000026e-07,3.044519239e-05,0.003580587989,5.508878297e-06,0,PASS,
E07,131,3,2,1.5890000000000013e-07,1.5891000000000014e-07,1.6550000000000026e-07,3.044519239e-05,0.003580587989,5.508878297e-06,0,PASS,
E07,132,2,1,1.5891000000000014e-07,1.5892000000000016e-07,1.6550000000000026e-07,3.044519239e-05,0.003580587989,5.508878297e-06,0,PASS,
E07,133,1,0,1.5892000000000016e-07,1.5893000000000017e-07,1.6550000000000026e-07,3.044519239e-05,0.003580587989,5.508878297e-06,0,PASS,
E08,134,0,1,1.6393000000000017e-07,1.6394000000000018e-07,1.6550000000000026e-07,2.435328649e-05,0.0002830482402,3.947261541e-06,0,PASS,
E08,135,1,2,1.6394000000000018e-07,1.639500000000002e-07,1.6550000000000026e-07,1.536409333e-05,0.0002830482402,3.947261541e-06,0,PASS,
E08,136,2,3,1.639500000000002e-07,1.639600000000002e-07,1.6550000000000026e-07,8.287988416e-07,0.0002590949492,7.975613481e-07,0,PASS,
E08,137,3,4,1.639600000000002e-07,1.6397000000000022e-07,1.6550000000000026e-07,8.287988416e-07,0.0001188510865,2.236987315e-07,0,PASS,
E08,138,4,5,1.6397000000000022e-07,1.6398000000000023e-07,1.6550000000000026e-07,8.287988416e-07,5.621551148e-05,2.236987315e-07,0,PASS,
E08,139,5,6,1.6398000000000023e-07,1.6399000000000024e-07,1.6550000000000026e-07,8.287988416e-07,2.707354673e-05,2.236987315e-07,0,PASS,
E08,140,6,7,1.6399000000000024e-07,1.6400000000000025e-07,1.6550000000000026e-07,8.287988416e-07,1.321847249e-05,2.236987315e-07,0,PASS,
E08,141,7,8,1.6400000000000025e-07,1.6401000000000026e-07,1.6550000000000026e-07,8.287988416e-07,6.665597636e-06,2.236987315e-07,0,PASS,
