episode_id,condition,probe_index,node,rise50_s,fall50_s,quiet_max_v,quiet_min_v,valid,reason
E07,pred9_arm_1p0ns_pad_0p0ns_pre,14,bclk,1.466905019e-07,1.4748175e-07,0.8477140718,-0.03784211883,1,
E07,pred9_arm_1p0ns_pad_0p0ns_pre,14,nd,1.465649837e-07,1.457856632e-07,0.8265297733,-0.0264532517,1,
E07,pred9_arm_1p0ns_pad_0p0ns_pre,14,nm,1.465857947e-07,1.458071562e-07,0.8488194747,-0.02570283773,1,
E07,pred9_arm_1p0ns_pad_0p0ns_pre,14,m,1.458555921e-07,1.466283178e-07,0.8240973327,-0.02739966579,1,
E07,pred9_arm_1p0ns_pad_0p0ns_pre,14,s,1.552412755e-07,1.556622531e-07,0.02762690256,-0.03690361779,1,
E07,pred9_arm_1p0ns_pad_0p0ns_pre,14,ns,1.556932404e-07,1.553147798e-07,0.8052354913,0.7991953104,1,
E07,pred9_arm_1p0ns_pad_0p0ns,15,nclk,1.555832623e-07,1.548023217e-07,0.8138721959,-0.01054451694,1,
E07,pred9_arm_1p0ns_pad_0p0ns,15,bclk,1.548352124e-07,1.556191169e-07,0.8282749825,-0.007644396411,1,
E07,pred9_arm_1p0ns_pad_0p0ns,15,nd,1.547717818e-07,1.539960981e-07,0.8264215993,-0.03196328205,1,
E07,pred9_arm_1p0ns_pad_0p0ns,15,nm,1.548072663e-07,1.540175975e-07,0.8238728504,-0.0297824756,1,
E07,pred9_arm_1p0ns_pad_0p0ns,15,m,1.54066152e-07,1.556622128e-07,0.8696771214,-0.02721849526,1,
E07,pred9_arm_1p0ns_pad_0p0ns,15,s,1.552412755e-07,1.556622531e-07,0.8276728858,-0.02054725132,1,
E07,pred9_arm_1p0ns_pad_0p0ns,15,ns,1.556932404e-07,1.553147798e-07,0.8146533233,-0.001199366189,1,
E08,pred8_arm_1p0ns_pad_0p0ns_pre,16,nclk,1.684338728e-07,1.676517341e-07,0.8138800423,-0.01407703834,1,
E08,pred8_arm_1p0ns_pad_0p0ns_pre,16,bclk,1.676846345e-07,1.684686454e-07,0.8334614118,-0.007642334502,1,
E08,pred8_arm_1p0ns_pad_0p0ns_pre,16,nd,1.676217002e-07,1.668457197e-07,0.8265387177,-0.03154419202,1,
E08,pred8_arm_1p0ns_pad_0p0ns_pre,16,nm,1.676571881e-07,1.668673128e-07,0.8237613916,-0.03124505449,1,
E08,pred8_arm_1p0ns_pad_0p0ns_pre,16,m,1.669156918e-07,1.685118601e-07,0.8767685953,-0.02747566005,1,
E08,pred8_arm_1p0ns_pad_0p0ns_pre,16,s,1.679813961e-07,1.685121646e-07,0.8283681041,-0.02060841458,1,
E08,pred8_arm_1p0ns_pad_0p0ns_pre,16,ns,1.685432865e-07,1.680510025e-07,0.8150014993,-0.001748678963,1,
E08,pred8_arm_1p0ns_pad_0p0ns,17,nclk,1.766317572e-07,1.758529766e-07,0.8138466409,-0.01401949309,1,
E08,pred8_arm_1p0ns_pad_0p0ns,17,bclk,1.758858907e-07,1.766668969e-07,0.8342735932,-0.007654413633,1,
E08,pred8_arm_1p0ns_pad_0p0ns,17,nd,1.758224859e-07,1.750462446e-07,0.8265175158,-0.03157486945,1,
E08,pred8_arm_1p0ns_pad_0p0ns,17,nm,1.758578371e-07,1.750677569e-07,0.8231800734,-0.03082299012,1,
E08,pred8_arm_1p0ns_pad_0p0ns,17,m,1.751163115e-07,1.760208143e-07,0.874181347,-0.02697090299,1,
E08,pred8_arm_1p0ns_pad_0p0ns,17,s,1.763303022e-07,1.767124742e-07,0.8294536548,-0.02073519438,1,
E08,pred8_arm_1p0ns_pad_0p0ns,17,ns,1.767436242e-07,1.764049032e-07,0.8145914741,-0.00158327696,1,
E09,pred7_arm_0p0ns_pad_0p51ns_pre,18,nclk,1.894008513e-07,1.886189297e-07,0.8138466208,-0.008779224592,1,
E09,pred7_arm_0p0ns_pad_0p51ns_pre,18,bclk,1.886538501e-07,1.894366167e-07,0.8205890066,-0.03170088312,1,
