scenario,probe_index,protocol_phase,medium_code,fine_code,node,sclk_fall_s,return_rise10_s,return_fall10_s,return_settle_ps,second_rise10_s,second_rise_present,recovery_end_v,recovery_tail_max_v,recovery_tail_min_v,valid,reason
recovery_v4_diagnostic_0p80,21,coarse_repeat,10,0,dff_ck,1.9860000000000007e-07,2.002635913e-07,2.011475946e-07,2547.5945999999312,2.071398586e-07,False,-5.301851994e-07,-2.126069517e-07,-5.301851994e-07,1,
recovery_v4_diagnostic_0p80,22,coarse_backoff,9,0,xor_29,2.086100000000001e-07,2.094334181e-07,2.101960802e-07,1586.0801999999082,2.163858203e-07,False,-4.704248781e-06,-4.454391561e-06,-4.704248781e-06,1,
recovery_v4_diagnostic_0p80,22,coarse_backoff,9,0,medium_out,2.086100000000001e-07,2.101586144e-07,2.109136006e-07,2303.6005999999143,2.170356751e-07,False,1.005120058e-06,1.005120058e-06,7.822132734e-07,1,
recovery_v4_diagnostic_0p80,22,coarse_backoff,9,0,dff_ck,2.086100000000001e-07,2.102056131e-07,2.110804468e-07,2470.4467999999056,2.170821784e-07,False,1.295048914e-06,1.295048914e-06,-3.590716825e-07,1,
recovery_v4_diagnostic_0p80,23,coarse_backoff,8,0,xor_29,2.1862000000000011e-07,2.194442001e-07,2.202057456e-07,1585.7455999998908,2.263952586e-07,False,-7.850776392e-07,-7.62426487e-07,-7.850776392e-07,1,
recovery_v4_diagnostic_0p80,23,coarse_backoff,8,0,medium_out,2.1862000000000011e-07,2.201033804e-07,2.208513161e-07,2231.316099999886,2.26979062e-07,False,9.08522274e-07,9.08522274e-07,8.424572869e-07,1,
recovery_v4_diagnostic_0p80,23,coarse_backoff,8,0,dff_ck,2.1862000000000011e-07,2.201501868e-07,2.210167726e-07,2396.772599999876,2.270257108e-07,False,-6.037805893e-06,-3.521702243e-06,-6.037805893e-06,1,
recovery_v4_diagnostic_0p80,24,fine_m7_scan,7,0,xor_29,2.2863000000000014e-07,2.294531326e-07,2.302156669e-07,1585.6668999998542,2.348955471e-07,False,8.922121893e-07,8.922121893e-07,1.21025214e-07,1,
recovery_v4_diagnostic_0p80,24,fine_m7_scan,7,0,medium_out,2.2863000000000014e-07,2.300452566e-07,2.307878927e-07,2157.8926999998766,2.354783358e-07,False,4.024473901e-07,5.508880038e-07,4.024473901e-07,1,
recovery_v4_diagnostic_0p80,24,fine_m7_scan,7,0,dff_ck,2.2863000000000014e-07,2.300920873e-07,2.309533275e-07,2323.3274999998516,2.355252369e-07,False,4.288396876e-07,4.288396876e-07,3.964536419e-08,1,
recovery_v4_diagnostic_0p80,25,fine_m7_repeat,7,0,xor_29,2.3713000000000014e-07,2.379539849e-07,2.387164738e-07,1586.4737999998483,2.449055223e-07,False,2.112938857e-06,2.112938857e-06,8.196823623e-07,1,
recovery_v4_diagnostic_0p80,25,fine_m7_repeat,7,0,medium_out,2.3713000000000014e-07,2.38545623e-07,2.392877183e-07,2157.718299999874,2.454889405e-07,False,-4.743349227e-07,-4.743349227e-07,-1.173861056e-06,1,
recovery_v4_diagnostic_0p80,25,fine_m7_repeat,7,0,dff_ck,2.3713000000000014e-07,2.385925327e-07,2.394556754e-07,2325.6753999998773,2.455361401e-07,False,-7.552692355e-06,3.862633867e-07,-7.552692355e-06,1,
recovery_v4_diagnostic_0p80,26,fine_m7_scan,7,1,xor_29,2.471400000000002e-07,2.479639235e-07,2.487259423e-07,1585.9422999997998,2.534057203e-07,False,-6.623666526e-07,-6.623666526e-07,-8.078947689e-07,1,
recovery_v4_diagnostic_0p80,26,fine_m7_scan,7,1,medium_out,2.471400000000002e-07,2.4855561e-07,2.492988295e-07,2158.8294999997916,2.539893868e-07,False,8.143407305e-07,8.143407305e-07,7.78199455e-07,1,
recovery_v4_diagnostic_0p80,26,fine_m7_scan,7,1,dff_ck,2.471400000000002e-07,2.486031673e-07,2.494765703e-07,2336.570299999805,2.540363908e-07,False,8.250322099e-06,8.250322099e-06,4.754502415e-06,1,
recovery_v4_diagnostic_0p80,27,fine_m7_repeat,7,1,xor_29,2.5564000000000024e-07,2.564639184e-07,2.572261646e-07,1586.1645999997697,2.634159254e-07,False,-1.285952162e-06,-1.285952162e-06,-1.530732543e-06,1,
recovery_v4_diagnostic_0p80,27,fine_m7_repeat,7,1,medium_out,2.5564000000000024e-07,2.570557282e-07,2.577989229e-07,2158.9228999997385,2.639987526e-07,False,7.734405492e-07,7.734405492e-07,7.701761675e-07,1,
recovery_v4_diagnostic_0p80,27,fine_m7_repeat,7,1,dff_ck,2.5564000000000024e-07,2.571029971e-07,2.579761227e-07,2336.122699999748,2.640468248e-07,False,2.928041041e-06,2.928041041e-06,1.693437626e-06,1,
recovery_v4_diagnostic_0p80,28,fine_m7_scan,7,2,xor_29,2.656500000000003e-07,2.664732433e-07,2.672362659e-07,1586.2658999996713,2.719155177e-07,False,-4.57002193e-07,-4.57002193e-07,-7.025739432e-07,1,
recovery_v4_diagnostic_0p80,28,fine_m7_scan,7,2,medium_out,2.656500000000003e-07,2.670654565e-07,2.67809282e-07,2159.281999999686,2.724989733e-07,False,8.731512105e-07,8.731512105e-07,8.468144246e-07,1,
recovery_v4_diagnostic_0p80,28,fine_m7_scan,7,2,dff_ck,2.656500000000003e-07,2.671134386e-07,2.679966357e-07,2346.6356999996615,2.725466195e-07,False,9.668984317e-06,9.668984317e-06,4.278626134e-06,1,
