episode_id,kind,condition,predecessor_M,M,F,reset_release_s,reset_arm_s,timeline_pad_s,launch_time_s,q_read_time_s,measured_reset_release50_s,measured_sclk_launch50_s,measured_reset_arm_s,q_read_v,q_read_late_v,Q_logic,Q_late_logic,xor_rise50_s,medium_rise50_s,ck_rise50_s,D_medium_ps,D_fine_ps,D_total_ps,W_xor_ps,hold_margin_ps,active_window_start_s,active_window_end_s,extra_ck_edge,valid,reason
E11,predecessor,pred8_arm_0p0ns_pad_0p51ns_pre,8,8,0,2.2770000000000075e-07,4.9e-10,0.0,2.2819000000000075e-07,2.3049000000000074e-07,2.277e-07,2.2819e-07,4.899999999999998e-10,0.7999994157,0.8003815909,1,1,2.289920197e-07,2.29614845e-07,2.297426885e-07,622.8253000000038,127.84350000000096,750.6688000000048,784.6911000000025,34.0222999999977,2.2819000000000075e-07,2.3069000000000072e-07,False,1,
E11,target,pred8_arm_0p0ns_pad_0p51ns,8,8,0,2.3590000000000073e-07,0.0,5.1e-10,2.3590000000000073e-07,2.3820000000000072e-07,2.359e-07,2.359e-07,0.0,0.7998472341,0.8004812868,1,1,2.367030079e-07,2.373260237e-07,2.374538859e-07,623.0158000000067,127.8621999999788,750.8779999999855,784.5883999999846,33.71039999999914,2.3590000000000073e-07,2.384000000000007e-07,False,1,
E12,predecessor,pred7_arm_0p48999999999999994ns_pad_0p51ns_pre,7,7,0,2.482500000000009e-07,4.9e-10,0.0,2.4874000000000094e-07,2.5104000000000096e-07,2.4825e-07,2.4874e-07,4.899999999999733e-10,0.8000043345,0.800292722,1,1,2.495420324e-07,2.500982191e-07,2.502261012e-07,556.1867000000266,127.88210000000333,684.0688000000299,785.4887000000318,101.41990000000192,2.4874000000000094e-07,2.5124000000000097e-07,False,1,
E12,target,pred7_arm_0p48999999999999994ns_pad_0p51ns,7,8,0,2.5646000000000096e-07,4.9e-10,5.1e-10,2.56950000000001e-07,2.59250000000001e-07,2.5646e-07,2.5695e-07,4.899999999999733e-10,5.561717071e-06,0.000399696223,0,0,2.577524094e-07,2.583754506e-07,2.585032691e-07,623.0411999999718,127.81850000001614,750.8596999999879,784.3697999999646,33.51009999997666,2.56950000000001e-07,2.59450000000001e-07,False,1,
E13,predecessor,pred9_arm_0p48999999999999994ns_pad_0p51ns_pre,9,9,0,2.693200000000012e-07,4.9e-10,0.0,2.698100000000012e-07,2.7211000000000124e-07,2.6932e-07,2.6981e-07,4.900000000000262e-10,1.638276473e-07,0.0004523047641,0,0,2.706122497e-07,2.71301949e-07,2.714298516e-07,689.6992999999669,127.90260000002476,817.6018999999917,784.6154999999983,-32.98639999999341,2.698100000000012e-07,2.7231000000000125e-07,False,1,
E13,target,pred9_arm_0p48999999999999994ns_pad_0p51ns,9,8,0,2.7753000000000124e-07,4.9e-10,5.1e-10,2.7802000000000127e-07,2.803200000000013e-07,2.7753e-07,2.7802e-07,4.899999999999733e-10,0.799999947,0.8003522192,1,1,2.788221029e-07,2.794455032e-07,2.795732596e-07,623.400300000025,127.75639999998147,751.1567000000065,785.057600000035,33.900900000028514,2.7802000000000127e-07,2.805200000000013e-07,False,1,
E14,predecessor,pred8_arm_0p48999999999999994ns_pad_0p51ns_pre,8,8,0,2.9038000000000147e-07,4.9e-10,0.0,2.908700000000015e-07,2.931700000000015e-07,2.9038e-07,2.9087e-07,4.900000000000262e-10,0.8000001223,0.8004150469,1,1,2.916720197e-07,2.922949368e-07,2.924227509e-07,622.9171000000298,127.81410000002136,750.7312000000512,785.0885000000201,34.35729999996886,2.908700000000015e-07,2.933700000000015e-07,False,1,
E14,target,pred8_arm_0p48999999999999994ns_pad_0p51ns,8,8,0,2.985800000000015e-07,4.9e-10,5.1e-10,2.990700000000015e-07,3.0137000000000154e-07,2.9858e-07,2.9907e-07,4.899999999999733e-10,0.7949785867,0.8004697448,1,1,2.99872694e-07,3.004959283e-07,3.006237864e-07,623.2343000000052,127.85810000002215,751.0924000000274,784.6994000000168,33.6069999999894,2.990700000000015e-07,3.0157000000000155e-07,False,1,
E15,predecessor,pred7_arm_1p0ns_pad_0p51ns_pre,7,7,0,3.114200000000017e-07,4.9e-10,0.0,3.1191000000000174e-07,3.1421000000000175e-07,3.1142e-07,3.1191e-07,4.899999999999733e-10,0.8000034364,0.8002941714,1,1,3.127120324e-07,3.132681139e-07,3.133958138e-07,556.0815000000262,127.69989999998826,683.7814000000144,784.9305000000292,101.14910000001476,3.1191000000000174e-07,3.1441000000000177e-07,False,1,
E15,target,pred7_arm_1p0ns_pad_0p51ns,7,8,0,3.1963000000000176e-07,1e-09,5.1e-10,3.206300000000018e-07,3.229300000000018e-07,3.1963e-07,3.2063e-07,9.999999999999692e-10,0.8000001343,0.800400384,1,1,3.214320142e-07,3.220545734e-07,3.221823684e-07,622.5592000000233,127.79499999998384,750.3542000000072,784.8197000000403,34.4655000000331,3.206300000000018e-07,3.231300000000018e-07,False,1,
