vdd_v,tap,t_xor_rise_s,t_xor_fall_s,W_S_int_ps,t_tap_rise_s,D_raw_ps,D_mux_est_ps,D_est_ps,valid
0.8,25,1.802717658e-09,2.587397204e-09,784.6795460000001,2.38793877e-09,585.2211120000001,124.30898600000006,709.5300980000002,1
0.8,26,1.802717658e-09,2.587397204e-09,784.6795460000001,2.408873717e-09,606.1560590000001,124.30898600000006,730.4650450000001,1
0.8,27,1.802717658e-09,2.587397204e-09,784.6795460000001,2.429912978e-09,627.1953200000002,124.30898600000006,751.5043060000003,1
0.8,28,1.802717658e-09,2.587397204e-09,784.6795460000001,2.451182049e-09,648.4643909999999,124.30898600000006,772.773377,1
0.8,29,1.802717658e-09,2.587397204e-09,784.6795460000001,2.472110018e-09,669.3923599999998,124.30898600000006,793.7013459999998,1
0.8,30,1.802717658e-09,2.587397204e-09,784.6795460000001,2.493169313e-09,690.4516550000001,124.30898600000006,814.7606410000001,1
0.8,31,1.802717658e-09,2.587397204e-09,784.6795460000001,2.514361312e-09,711.6436540000002,124.30898600000006,835.9526400000002,1
0.8,32,1.802717658e-09,2.587397204e-09,784.6795460000001,2.535339931e-09,732.6222730000001,124.30898600000006,856.9312590000002,1
0.8,33,1.802717658e-09,2.587397204e-09,784.6795460000001,2.556288001e-09,753.570343,124.30898600000006,877.8793290000001,1
0.8,34,1.802717658e-09,2.587397204e-09,784.6795460000001,2.577294649e-09,774.576991,124.30898600000006,898.8859770000001,1
0.8,35,1.802717658e-09,2.587397204e-09,784.6795460000001,2.598454935e-09,795.7372770000001,124.30898600000006,920.0462630000002,1
0.8,36,1.802717658e-09,2.587397204e-09,784.6795460000001,2.619428933e-09,816.711275,124.30898600000006,941.0202610000001,1
0.8,37,1.802717658e-09,2.587397204e-09,784.6795460000001,2.640439614e-09,837.721956,124.30898600000006,962.0309420000001,1
0.8,38,1.802717658e-09,2.587397204e-09,784.6795460000001,2.659249591e-09,856.5319330000001,124.30898600000006,980.8409190000002,1
