scenario_id,baseline_vdd_v,margin_level,M_det,F_det,DeltaV_mv,Vdroop_v,t_fall_ps,t_hold_ps,t_rise_ps,phase_ps,actual_min_vdd_v,t_xor_rise_s,t_xor_fall_s,t_ck_rise_s,t_ck_rise_2_s,W_xor_ps,D_ref_ps,R_ps,q_sample_1_v,q_sample_2_v,vdd_at_q_sample_1_v,vdd_at_q_sample_2_v,q_sample_1_ratio,q_sample_2_ratio,q_final,q_state,active_ck_edge_count,recovery_max_ratio,valid,reason,completion_status,scenario_path,deck_sha256,source_hash,sweep_kind
t0__b0p95__L2__dv90p0__h3000p0__p175p0__9f975f30ec80c48d05ad,0.95,L2,5,6,90.0,0.86,1.0,3000.0,1.0,175.0,0.86,2.113009305e-09,2.660774348e-09,2.608501987e-09,5.495969128e-09,547.7650429999999,495.4926820000002,52.272360999999705,1.176094129e-07,1.354457799e-07,0.86,0.86,1.3675513127906976e-07,1.5749509290697677e-07,0,stable_low,1,1.3154878220930233e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r120/scenarios/t0__b0p95__L2__dv90p0__h3000p0__p175p0__9f975f30ec80c48d05ad,d4dae265a960fdfb9fd017b287deb143e04fe30a1e5d1b98a5113f211fe34146,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,fine
t0__b0p95__L2__dv90p0__h3000p0__p200p0__a44558f762f96ad14a92,0.95,L2,5,6,90.0,0.86,1.0,3000.0,1.0,200.0,0.86,2.107172724e-09,2.651467875e-09,2.602804063e-09,5.500956387e-09,544.2951509999997,495.6313389999999,48.66381199999978,-8.156154506e-08,1.830708526e-07,0.86,0.86,-9.483900588372093e-08,2.1287308441860465e-07,0,stable_low,1,2.8384960639534887e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r121/scenarios/t0__b0p95__L2__dv90p0__h3000p0__p200p0__a44558f762f96ad14a92,278bb062737eedae8f7a64dd25ae634e411362f3286f69b75841e2a40110a447,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,fine
t0__b0p95__L2__dv90p0__h3000p0__p225p0__62d856216037edd61ec3,0.95,L2,5,6,90.0,0.86,1.0,3000.0,1.0,225.0,0.86,2.1010817e-09,2.642857447e-09,2.596613277e-09,5.505984012e-09,541.775747,495.5315769999998,46.244170000000224,-1.100625182e-07,1.960592048e-07,0.86,0.86,-1.279796723255814e-07,2.2797581953488374e-07,0,stable_low,1,3.324776969767442e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r122/scenarios/t0__b0p95__L2__dv90p0__h3000p0__p225p0__62d856216037edd61ec3,85e42887dc7178a37cf7f0a8f086d3281a6a5dfa3a29fff7c4fa20e028a61f2c,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,fine
t0__b1p1__L2__dv140p0__h3000p0__p25p0__073a532822215d35adf2,1.1,L2,3,8,140.0,0.96,1.0,3000.0,1.0,25.0,0.96,2.00481621e-09,2.369818189e-09,2.329285809e-09,5.186086903e-09,365.00197899999984,324.46959899999996,40.532379999999876,0.9599996959,0.9599997023,0.96,0.96,0.9999996832291667,0.9999996898958333,1,stable_high,1,1.4746171760416667e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r123/scenarios/t0__b1p1__L2__dv140p0__h3000p0__p25p0__073a532822215d35adf2,815989f0ac234653f0df4284bf7d85704e6f7378ad18c2f31f03a883b0b018b8,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,fine
t0__b1p1__L2__dv140p0__h3000p0__p50p0__e976924797b859596dc1,1.1,L2,3,8,140.0,0.96,1.0,3000.0,1.0,50.0,0.96,1.998232503e-09,2.360678459e-09,2.323152911e-09,5.191856626e-09,362.44595600000014,324.92040799999984,37.5255480000003,1.469491872e-07,1.691330632e-07,0.96,0.96,1.5307207000000002e-07,1.7618027416666667e-07,0,stable_low,1,1.3633929770833334e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r124/scenarios/t0__b1p1__L2__dv140p0__h3000p0__p50p0__e976924797b859596dc1,bcea0835aee7602155a6461909340e29ff8f0d13d525196d9cfc2b19a826c928,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,fine
t0__b1p1__L2__dv140p0__h3000p0__p75p0__ae698b2d0678b3942fdc,1.1,L2,3,8,140.0,0.96,1.0,3000.0,1.0,75.0,0.96,1.991369363e-09,2.351860795e-09,2.316007394e-09,5.197798662e-09,360.4914320000001,324.63803100000007,35.85340100000002,1.455233615e-07,1.83290684e-07,0.96,0.96,1.5158683489583335e-07,1.9092779583333333e-07,0,stable_low,1,1.2427705583333332e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r125/scenarios/t0__b1p1__L2__dv140p0__h3000p0__p75p0__ae698b2d0678b3942fdc,c7fc06e90d34a2d097064fc66d837af1e4bd91299c3071868fc9e20705876a61,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,fine
t0__b1p1__L2__dv140p0__h3000p0__p100p0__34e01a2aef494ecc2455,1.1,L2,3,8,140.0,0.96,1.0,3000.0,1.0,100.0,0.96,1.984085701e-09,2.342125933e-09,2.309053733e-09,5.202844143e-09,358.040232,324.968032,33.07220000000001,-2.514550075e-07,-2.523047301e-07,0.96,0.96,-2.619322994791667e-07,-2.628174271875e-07,0,stable_low,1,1.288490784375e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r126/scenarios/t0__b1p1__L2__dv140p0__h3000p0__p100p0__34e01a2aef494ecc2455,7b32110b8a40f58cacdada8659c0ac678d30b90719598a7a9fe8592e129fb7a9,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,fine
t0__b1p1__L2__dv140p0__h3000p0__p125p0__a5c46a3bdb076a90d154,1.1,L2,3,8,140.0,0.96,1.0,3000.0,1.0,125.0,0.96,1.976830897e-09,2.333090545e-09,2.30169055e-09,5.208467794e-09,356.2596480000002,324.859653,31.399995000000217,-6.167594207e-08,-1.240775766e-07,0.96,0.96,-6.424577298958334e-08,-1.29247475625e-07,0,stable_low,1,1.2864428781250002e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r127/scenarios/t0__b1p1__L2__dv140p0__h3000p0__p125p0__a5c46a3bdb076a90d154,15caaf4bff2ba16dcad34ffd15c6dfa4901dc2f40e1f11b02c92bb342722e8a5,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,fine
t0__b1p1__L2__dv140p0__h3000p0__p150p0__479389361637dae56652,1.1,L2,3,8,140.0,0.96,1.0,3000.0,1.0,150.0,0.96,1.970517165e-09,2.323328e-09,2.295302599e-09,5.214439651e-09,352.8108349999998,324.78543399999995,28.025400999999874,-5.841746394e-07,-7.361565639e-07,0.96,0.96,-6.08515249375e-07,-7.668297540625e-07,0,stable_low,1,1.3217897302083335e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r128/scenarios/t0__b1p1__L2__dv140p0__h3000p0__p150p0__479389361637dae56652,9a487c003ad9d79203859091cc2788b9aa8854f169fc8257d49a1fef5548f77d,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,fine
t0__b1p1__L2__dv140p0__h3000p0__p175p0__3a6ffe5a26d72b4290ef,1.1,L2,3,8,140.0,0.96,1.0,3000.0,1.0,175.0,0.96,1.963953917e-09,2.314377289e-09,2.288799631e-09,5.219581032e-09,350.4233719999999,324.84571400000004,25.57765799999987,-1.739075737e-07,2.383155094e-07,0.96,0.96,-1.8115372260416666e-07,2.482453222916667e-07,0,stable_low,1,1.3900138739583334e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r129/scenarios/t0__b1p1__L2__dv140p0__h3000p0__p175p0__3a6ffe5a26d72b4290ef,aae505b8b1df13e76097f0e3b960c1b6f043b3cf7bf31a5c8204a34cfa60263a,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,fine
t0__b1p1__L2__dv140p0__h3000p0__p200p0__c870d0cd2ed42ffd9c2b,1.1,L2,3,8,140.0,0.96,1.0,3000.0,1.0,200.0,0.96,1.956797779e-09,2.305075943e-09,2.281498461e-09,5.225711321e-09,348.2781639999998,324.7006819999999,23.57748199999986,-2.385905903e-08,-3.56768867e-08,0.96,0.96,-2.4853186489583334e-08,-3.716342364583333e-08,0,stable_low,1,2.7561143083333333e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r130/scenarios/t0__b1p1__L2__dv140p0__h3000p0__p200p0__c870d0cd2ed42ffd9c2b,8bf918c346ae32843cd63124e0cb4d0c74e953b77503637ac21601a0cf3920a7,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,fine
t0__b1p1__L2__dv140p0__h3000p0__p225p0__4facd8551b6055378991,1.1,L2,3,8,140.0,0.96,1.0,3000.0,1.0,225.0,0.96,1.95010705e-09,2.295461015e-09,2.275049036e-09,5.231147326e-09,345.353965,324.9419860000001,20.411978999999917,8.245433623e-08,2.580936024e-07,0.96,0.96,8.588993357291667e-08,2.6884750249999997e-07,0,stable_low,1,1.3217790270833335e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r131/scenarios/t0__b1p1__L2__dv140p0__h3000p0__p225p0__4facd8551b6055378991,46ec5c3bed1d03785ddf152d6f720c1cefbb7231fc790be7111b1a1988a014f7,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,fine
