dataset_code,seed,polarity,m_ff,m_ref,margin,arch0,sign0_off,sign0_18,sign0_19,abs_term_18,signed_term_18,signed_term_19
5,41010,0,225,182,22,1,1,1,1,1,1,1
0,41011,0,182,176,0,0,0,0,0,0,0,0
0,41011,0,182,176,0,0,0,0,0,0,0,0
0,41011,0,182,176,0,0,0,0,0,0,0,0
0,41011,0,159,176,0,0,0,0,0,0,0,0
0,41011,1,159,159,0,0,0,0,0,0,0,0
0,41011,1,159,159,0,0,0,0,0,0,0,0
0,41011,1,159,159,0,0,0,0,0,0,0,0
0,41011,1,159,159,0,0,0,0,0,0,0,0
1,41011,0,159,176,22,0,0,0,0,0,0,0
1,41011,1,159,159,24,0,0,0,0,0,0,0
1,41011,0,159,176,22,0,0,0,0,0,0,0
1,41011,1,159,159,24,0,0,0,0,0,0,0
1,41011,0,159,176,22,0,0,0,0,0,0,0
1,41011,1,159,159,24,0,0,0,0,0,0,0
1,41011,0,182,176,22,0,0,0,0,0,0,0
1,41011,1,159,159,24,0,0,0,0,0,0,0
2,41011,0,182,176,22,0,0,0,0,0,0,0
2,41011,0,182,176,22,0,0,0,0,0,0,0
2,41011,0,182,176,22,0,0,0,0,0,0,0
2,41011,0,159,176,22,0,0,0,0,0,0,0
2,41011,0,159,176,22,0,0,0,0,0,0,0
2,41011,0,182,176,22,0,0,0,0,0,0,0
2,41011,0,159,176,22,0,0,0,0,0,0,0
2,41011,0,159,176,22,0,0,0,0,0,0,0
2,41011,0,159,176,22,0,0,0,0,0,0,0
2,41011,0,159,176,22,0,0,0,0,0,0,0
2,41011,0,159,176,22,0,0,0,0,0,0,0
2,41011,0,182,176,22,0,0,0,0,0,0,0
3,41011,0,204,176,22,1,1,1,1,1,1,1
4,41011,0,245,176,22,1,1,1,1,1,1,1
5,41011,0,204,176,22,1,1,1,1,1,1,1
0,41012,0,204,204,0,0,0,0,0,0,0,0
0,41012,0,204,204,0,0,0,0,0,0,0,0
0,41012,0,204,204,0,0,0,0,0,0,0,0
0,41012,0,204,204,0,0,0,0,0,0,0,0
0,41012,1,182,182,0,0,0,0,0,0,0,0
0,41012,1,182,182,0,0,0,0,0,0,0,0
0,41012,1,182,182,0,0,0,0,0,0,0,0
0,41012,1,182,182,0,0,0,0,0,0,0,0
1,41012,0,204,204,22,0,0,0,0,0,0,0
1,41012,1,182,182,24,0,0,0,0,0,0,0
1,41012,0,204,204,22,0,0,0,0,0,0,0
1,41012,1,182,182,24,0,0,0,0,0,0,0
1,41012,0,182,204,22,0,0,0,0,0,0,0
1,41012,1,159,182,24,0,0,0,0,0,0,0
1,41012,0,204,204,22,0,0,0,0,0,0,0
1,41012,1,182,182,24,0,0,0,0,0,0,0
2,41012,0,204,204,22,0,0,0,0,0,0,0
2,41012,0,204,204,22,0,0,0,0,0,0,0
2,41012,0,204,204,22,0,0,0,0,0,0,0
2,41012,0,204,204,22,0,0,0,0,0,0,0
2,41012,0,204,204,22,0,0,0,0,0,0,0
2,41012,0,204,204,22,0,0,0,0,0,0,0
2,41012,0,182,204,22,0,0,0,0,0,0,0
2,41012,0,204,204,22,0,0,0,0,0,0,0
2,41012,0,204,204,22,0,0,0,0,0,0,0
2,41012,0,204,204,22,0,0,0,0,0,0,0
2,41012,0,182,204,22,0,0,0,0,0,0,0
2,41012,0,204,204,22,0,0,0,0,0,0,0
3,41012,0,225,204,22,0,0,1,1,0,1,1
4,41012,0,264,204,22,1,1,1,1,1,1,1
5,41012,0,225,204,22,0,0,1,1,0,1,1
0,41013,0,245,235,0,0,0,0,0,0,0,0
0,41013,0,225,235,0,0,0,0,0,0,0,0
0,41013,0,245,235,0,0,0,0,0,0,0,0
0,41013,0,225,235,0,0,0,0,0,0,0,0
0,41013,1,204,204,0,0,0,0,0,0,0,0
0,41013,1,204,204,0,0,0,0,0,0,0,0
0,41013,1,204,204,0,0,0,0,0,0,0,0
0,41013,1,204,204,0,0,0,0,0,0,0,0
1,41013,0,225,235,22,0,0,0,0,0,0,0
1,41013,1,204,204,24,0,0,0,0,0,0,0
1,41013,0,225,235,22,0,0,0,0,0,0,0
1,41013,1,204,204,24,0,0,0,0,0,0,0
1,41013,0,225,235,22,0,0,0,0,0,0,0
1,41013,1,204,204,24,0,0,0,0,0,0,0
1,41013,0,245,235,22,0,0,0,0,0,0,0
1,41013,1,204,204,24,0,0,0,0,0,0,0
2,41013,0,245,235,22,0,0,0,0,0,0,0
2,41013,0,225,235,22,0,0,0,0,0,0,0
2,41013,0,245,235,22,0,0,0,0,0,0,0
2,41013,0,225,235,22,0,0,0,0,0,0,0
2,41013,0,225,235,22,0,0,0,0,0,0,0
2,41013,0,245,235,22,0,0,0,0,0,0,0
2,41013,0,225,235,22,0,0,0,0,0,0,0
2,41013,0,225,235,22,0,0,0,0,0,0,0
2,41013,0,225,235,22,0,0,0,0,0,0,0
2,41013,0,225,235,22,0,0,0,0,0,0,0
2,41013,0,225,235,22,0,0,0,0,0,0,0
2,41013,0,245,235,22,0,0,0,0,0,0,0
3,41013,0,264,235,22,1,1,1,1,1,1,1
4,41013,0,282,235,22,1,1,1,1,1,1,1
5,41013,0,264,235,22,1,1,1,1,1,1,1
0,41014,0,182,182,0,0,0,0,0,0,0,0
0,41014,0,182,182,0,0,0,0,0,0,0,0
0,41014,0,182,182,0,0,0,0,0,0,0,0
0,41014,0,182,182,0,0,0,0,0,0,0,0
0,41014,1,159,159,0,0,0,0,0,0,0,0
0,41014,1,159,159,0,0,0,0,0,0,0,0
0,41014,1,159,159,0,0,0,0,0,0,0,0
0,41014,1,159,159,0,0,0,0,0,0,0,0
1,41014,0,182,182,22,0,0,0,0,0,0,0
1,41014,1,159,159,24,0,0,0,0,0,0,0
1,41014,0,182,182,22,0,0,0,0,0,0,0
1,41014,1,159,159,24,0,0,0,0,0,0,0
1,41014,0,182,182,22,0,0,0,0,0,0,0
1,41014,1,159,159,24,0,0,0,0,0,0,0
1,41014,0,182,182,22,0,0,0,0,0,0,0
1,41014,1,159,159,24,0,0,0,0,0,0,0
2,41014,0,182,182,22,0,0,0,0,0,0,0
2,41014,0,182,182,22,0,0,0,0,0,0,0
2,41014,0,182,182,22,0,0,0,0,0,0,0
2,41014,0,182,182,22,0,0,0,0,0,0,0
