T_POS,rule,healthy_rise_samples,healthy_positive_false_alarms,healthy_positive_false_alarm_rate,D01_samples,D01_detected,D01_coverage,D02_samples,D02_detected,D02_coverage,diagnostic_only,formal_margin_unchanged
108,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
109,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
110,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
111,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
112,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
113,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
114,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
115,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
116,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
117,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
118,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
119,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
120,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
121,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
122,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
123,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
124,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
125,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
126,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
127,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
128,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
129,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
130,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
131,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
132,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
133,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
134,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
135,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
136,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
137,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
138,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
139,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
140,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
141,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
142,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
143,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
144,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
145,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
146,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
147,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
148,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
149,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
150,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
151,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
152,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
153,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
154,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
155,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
156,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
157,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
158,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
159,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
160,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
161,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
162,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
163,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
164,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
165,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
166,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
167,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
168,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
169,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
170,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
171,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
172,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
173,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
174,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
