dataset,seed,event_index,event,M_FF,M_REF_RISE,signed_e,abs_e,q_ff,existing_abs_margin_alarm,diagnostic_signed_T18_alarm
healthy_rise,41024,10,106.0 ns RISE,159,164,-5,5,000000000000000000000000111111,0,0
healthy_rise,41024,12,126.0 ns RISE,159,164,-5,5,000000000000000000000000111111,0,0
healthy_rise,41024,14,146.0 ns RISE,159,164,-5,5,000000000000000000000000111111,0,0
healthy_rise,41024,16,171.0 ns RISE,159,164,-5,5,000000000000000000000000111111,0,0
healthy_rise,41024,18,191.0 ns RISE,159,164,-5,5,000000000000000000000000111111,0,0
healthy_rise,41024,20,211.0 ns RISE,159,164,-5,5,000000000000000000000000111111,0,0
healthy_rise,41024,22,231.0 ns RISE,159,164,-5,5,000000000000000000000000111111,0,0
healthy_rise,41025,0,1.0 ns RISE,225,225,0,0,000000000000000000000111111111,0,0
healthy_rise,41025,2,21.0 ns RISE,225,225,0,0,000000000000000000000111111111,0,0
healthy_rise,41025,4,41.0 ns RISE,225,225,0,0,000000000000000000000111111111,0,0
healthy_rise,41025,6,61.0 ns RISE,225,225,0,0,000000000000000000000111111111,0,0
healthy_rise,41025,8,86.0 ns RISE,225,225,0,0,000000000000000000000111111111,0,0
healthy_rise,41025,10,106.0 ns RISE,225,225,0,0,000000000000000000000111111111,0,0
healthy_rise,41025,12,126.0 ns RISE,204,225,-21,21,000000000000000000000011111111,0,0
healthy_rise,41025,14,146.0 ns RISE,225,225,0,0,000000000000000000000111111111,0,0
