dataset,seed,event_index,event,M_FF,M_REF_RISE,signed_e,abs_e,q_ff,existing_abs_margin_alarm,diagnostic_signed_T18_alarm
healthy_rise,41010,10,106.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41010,12,126.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41010,14,146.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41010,16,171.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41010,18,191.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41010,20,211.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41010,22,231.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41011,0,1.0 ns RISE,182,176,6,6,000000000000000000000001111111,0,0
healthy_rise,41011,2,21.0 ns RISE,182,176,6,6,000000000000000000000001111111,0,0
healthy_rise,41011,4,41.0 ns RISE,182,176,6,6,000000000000000000000001111111,0,0
healthy_rise,41011,6,61.0 ns RISE,159,176,-17,17,000000000000000000000000111111,0,0
healthy_rise,41011,8,86.0 ns RISE,159,176,-17,17,000000000000000000000000111111,0,0
healthy_rise,41011,10,106.0 ns RISE,182,176,6,6,000000000000000000000001111111,0,0
healthy_rise,41011,12,126.0 ns RISE,159,176,-17,17,000000000000000000000000111111,0,0
healthy_rise,41011,14,146.0 ns RISE,159,176,-17,17,000000000000000000000000111111,0,0
healthy_rise,41011,16,171.0 ns RISE,159,176,-17,17,000000000000000000000000111111,0,0
healthy_rise,41011,18,191.0 ns RISE,159,176,-17,17,000000000000000000000000111111,0,0
healthy_rise,41011,20,211.0 ns RISE,159,176,-17,17,000000000000000000000000111111,0,0
healthy_rise,41011,22,231.0 ns RISE,182,176,6,6,000000000000000000000001111111,0,0
healthy_rise,41012,0,1.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41012,2,21.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41012,4,41.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41012,6,61.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41012,8,86.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41012,10,106.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41012,12,126.0 ns RISE,182,204,-22,22,000000000000000000000001111111,0,0
healthy_rise,41012,14,146.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41012,16,171.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41012,18,191.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41012,20,211.0 ns RISE,182,204,-22,22,000000000000000000000001111111,0,0
healthy_rise,41012,22,231.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41013,0,1.0 ns RISE,245,235,10,10,000000000000000000001111111111,0,0
healthy_rise,41013,2,21.0 ns RISE,225,235,-10,10,000000000000000000000111111111,0,0
healthy_rise,41013,4,41.0 ns RISE,245,235,10,10,000000000000000000001111111111,0,0
healthy_rise,41013,6,61.0 ns RISE,225,235,-10,10,000000000000000000000111111111,0,0
healthy_rise,41013,8,86.0 ns RISE,225,235,-10,10,000000000000000000000111111111,0,0
healthy_rise,41013,10,106.0 ns RISE,245,235,10,10,000000000000000000001111111111,0,0
healthy_rise,41013,12,126.0 ns RISE,225,235,-10,10,000000000000000000000111111111,0,0
healthy_rise,41013,14,146.0 ns RISE,225,235,-10,10,000000000000000000000111111111,0,0
healthy_rise,41013,16,171.0 ns RISE,225,235,-10,10,000000000000000000000111111111,0,0
healthy_rise,41013,18,191.0 ns RISE,225,235,-10,10,000000000000000000000111111111,0,0
healthy_rise,41013,20,211.0 ns RISE,225,235,-10,10,000000000000000000000111111111,0,0
healthy_rise,41013,22,231.0 ns RISE,245,235,10,10,000000000000000000001111111111,0,0
healthy_rise,41014,0,1.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41014,2,21.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41014,4,41.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41014,6,61.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
