seed,segment,event_index,polarity,M_FF,M_REF,D_M,margin,healthy_alarm
41020,FPR,19,FALL,135,135,0,24,0
41020,FPR,20,RISE,159,159,0,22,0
41020,FPR,21,FALL,110,135,25,24,1
41020,FPR,22,RISE,159,159,0,22,0
41020,FPR,23,FALL,135,135,0,24,0
41021,FPR,16,RISE,182,182,0,22,0
41021,FPR,17,FALL,135,141,6,24,0
41021,FPR,18,RISE,182,182,0,22,0
41021,FPR,19,FALL,135,141,6,24,0
41021,FPR,20,RISE,182,182,0,22,0
41021,FPR,21,FALL,135,141,6,24,0
41021,FPR,22,RISE,182,182,0,22,0
41021,FPR,23,FALL,135,141,6,24,0
41022,FPR,16,RISE,204,204,0,22,0
41022,FPR,17,FALL,159,159,0,24,0
41022,FPR,18,RISE,204,204,0,22,0
41022,FPR,19,FALL,159,159,0,24,0
41022,FPR,20,RISE,182,204,22,22,0
41022,FPR,21,FALL,159,159,0,24,0
41022,FPR,22,RISE,204,204,0,22,0
41022,FPR,23,FALL,159,159,0,24,0
41023,FPR,16,RISE,204,209,5,22,0
41023,FPR,17,FALL,182,182,0,24,0
41023,FPR,18,RISE,204,209,5,22,0
41023,FPR,19,FALL,182,182,0,24,0
41023,FPR,20,RISE,204,209,5,22,0
41023,FPR,21,FALL,182,182,0,24,0
41023,FPR,22,RISE,204,209,5,22,0
41023,FPR,23,FALL,182,182,0,24,0
41024,FPR,16,RISE,159,164,5,22,0
41024,FPR,17,FALL,135,147,12,24,0
41024,FPR,18,RISE,159,164,5,22,0
41024,FPR,19,FALL,135,147,12,24,0
41024,FPR,20,RISE,159,164,5,22,0
41024,FPR,21,FALL,135,147,12,24,0
41024,FPR,22,RISE,159,164,5,22,0
41024,FPR,23,FALL,135,147,12,24,0
41025,FPR,16,RISE,225,225,0,22,0
41025,FPR,17,FALL,204,204,0,24,0
41025,FPR,18,RISE,225,225,0,22,0
41025,FPR,19,FALL,204,204,0,24,0
41025,FPR,20,RISE,204,225,21,22,0
41025,FPR,21,FALL,182,204,22,24,0
41025,FPR,22,RISE,225,225,0,22,0
41025,FPR,23,FALL,204,204,0,24,0
41026,FPR,16,RISE,159,164,5,22,0
41026,FPR,17,FALL,159,153,6,24,0
41026,FPR,18,RISE,159,164,5,22,0
41026,FPR,19,FALL,159,153,6,24,0
41026,FPR,20,RISE,159,164,5,22,0
